gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,f0_exc_z,lh_slope
F,MDQ,L*^[H],% (*) L*^[H] %,%,76,249,-1.2209842154131827,2.1866295264623927,3.4076137418755756,60.568
F,MDQ,L*H,% >H* L*H %,%,113,318,-1.2999071494893208,0.7892293407613755,2.0891364902506964,28.625
F,MDQ,L*H,% L*H L*H %,%,88,381,-1.4902506963788338,0.8170844939647192,2.307335190343553,22.345
F,MDQ,L*H,% L*H L*H %,%,87,313,-1.0445682451253482,1.0770659238625782,2.121634168987926,24.956
F,MDQ,L*H,% L*H L*H %,%,126,385,-1.5459610027855146,0.7660167130919247,2.3119777158774393,26.403
F,MDQ,L*H,% L*H L*H %,%,102,333,-1.8941504178272974,0.6360259981429919,2.5301764159702893,28.156
F,MWH,L*H,% H* L*!H L*H %,%,121,294,0.15784586815227641,1.852367688022282,1.6945218198700056,22.967
F,MWH,L*H,% H* L*H L*H %,%,109,290,-0.03249767873723649,1.8941504178272974,1.9266480965645338,24.321
F,MWH,L*H,% H* L*!H L*H %,%,117,303,0.08356545961002443,1.8430826369545028,1.7595171773444784,20.691
F,MWH,L*H,%H H* L*H L*H %,%,111,300,0.27390900649953737,1.7780872794800364,1.504178272980499,16.898
F,MWH,L*H,% H* L*H L*H %,%,107,298,0.10677808727948189,2.130919220055712,2.02414113277623,23.022
F,MWH,L*H,% H* L*!H L*H %,%,122,304,-1.7409470752089138,0.42711234911792095,2.1680594243268345,39.398
F,MWH,L*H,% H* L*!H L*H %,%,131,287,-2.2005571030640647,0.24605385329619367,2.4466109563602583,42.111
F,MWH,L*H,% H* L*!H L*H %,%,89,268,-1.8895078922934112,0.38532961931290544,2.2748375116063166,31.284
F,MWH,L*H,% H* L*!H L*H %,%,133,267,-2.0427112349117946,0.07428040854224541,2.11699164345404,38.312
F,MWH,L*H,% H* L*!H L*H %,%,143,318,-2.4280408542247,-0.49675023212628017,1.9312906220984198,32.601
F,MWH,L*H,% H* L*!H L*H %,%,101,350,-0.5338904363974029,0.7103064066852374,1.2441968430826402,11.818
